order_time,order_num,earning
0.5,1,1
1,2,1
1.5,3,1
2,4,1
2.5,5,1
3,6,1
3.5,7,1
4,8,1
4.5,9,1
5,10,1
5.5,11,1
6,12,1
6.5,13,1
7,14,1
7.5,15,1
8,16,1
8.5,17,1
9,18,1
9.5,19,1
10,20,1
10.5,21,1
11,22,1
11.5,23,1
12,24,1
12.5,25,1
13,26,1
13.5,27,1
14,28,1
14.5,29,1
15,30,1
15.5,31,2
16,32,2
16.5,33,2
17,34,2
17.5,35,2
18,36,2
18.5,37,2
19,38,2
19.5,39,2
20,40,2
20.5,41,2
21,42,2
21.5,43,2
22,44,2
22.5,45,2
23,46,2
23.5,47,2
24,48,2
24.5,49,2
25,50,2
25.5,51,2
26,52,2
26.5,53,2
27,54,2
27.5,55,2
28,56,2
28.5,57,2
29,58,2
29.5,59,2
30,60,1
30.5,61,1
31,62,1
31.5,63,1
32,64,1
32.5,65,1
33,66,1
33.5,67,1
34,68,1
34.5,69,1
35,70,1
35.5,71,1
36,72,1
36.5,73,1
37,74,1
37.5,75,1
38,76,1
38.5,77,1
39,78,1
39.5,79,1
40,80,1
40.5,81,1
41,82,1
41.5,83,1
42,84,1
42.5,85,1
43,86,1
43.5,87,1
44,88,1
44.5,89,1
45,90,1
45.5,91,1
46,92,1
46.5,93,1
47,94,1
47.5,95,1
48,96,1
48.5,97,1
49,98,1
49.5,99,1
50,100,1
