arrival_time,customer_level,delay_time,lead_time,daily_capacity,revenue
1,1,5,5,2,5
2,1,5,5,2,6
4,2,6,5,2,3
5,1,3,5,2,3
5,3,6,4,2,7
7,1,4,4,2,3
8,2,4,5,2,6
8,2,6,5,2,3
8,1,4,5,2,4
9,3,4,5,2,6
9,1,5,5,2,5
9,3,6,5,2,7
11,1,3,4,2,3
13,3,3,4,2,7
14,1,3,5,2,3
14,1,4,5,2,3
14,2,6,3,2,5
15,1,4,4,2,3
15,3,6,5,2,7
15,1,4,3,2,6
15,1,6,4,2,3
16,1,5,5,2,6
16,1,6,5,2,3
18,2,5,5,2,6
18,2,5,5,2,6
18,2,5,4,2,6
20,3,5,4,2,7
22,2,6,4,2,3
22,1,4,3,2,4
24,2,6,5,2,5
26,2,3,4,2,7
26,1,4,3,2,6
26,1,4,5,2,3
27,3,4,5,2,5
27,3,3,4,2,7
27,1,4,3,2,7
28,3,5,4,2,3
30,3,6,5,2,7
31,2,6,5,2,3
32,2,3,3,2,3
34,3,3,3,2,7
36,1,5,3,2,6
37,2,6,4,2,4
39,2,5,5,2,7
39,1,5,3,2,5
41,3,6,5,2,7
42,2,6,5,2,5
43,2,5,5,2,7
44,1,3,3,2,7
44,1,5,4,2,6
46,1,5,3,2,3
46,1,6,4,2,6
48,2,4,4,2,3
48,1,5,5,2,6
48,1,4,3,2,6
48,3,4,3,2,5
49,3,5,4,2,3
51,3,4,3,2,5
51,2,3,5,2,5
52,1,3,4,2,3
53,1,6,3,2,6
53,1,4,3,2,7
53,3,4,4,2,5
53,1,3,3,2,6
54,3,6,4,2,7
56,1,5,3,2,4
57,2,6,5,2,3
58,3,3,3,2,4
59,1,3,3,2,7
60,3,5,4,2,4
60,1,4,5,2,6
62,2,5,4,2,7
64,1,5,3,2,3
64,3,3,3,2,4
65,3,3,5,2,5
67,1,3,3,2,7
67,3,4,5,2,7
67,3,6,4,2,3
68,2,6,4,2,3
69,1,4,5,2,5
70,1,5,4,2,5
70,1,4,5,2,5
72,2,4,3,2,3
73,3,5,4,2,5
74,1,3,5,2,4
75,3,4,5,2,3
76,2,4,5,2,3
76,1,3,3,2,6
77,3,3,5,2,3
78,3,5,3,2,4
78,2,6,3,2,4
79,1,3,5,2,7
79,2,4,5,2,7
79,2,5,3,2,3
81,1,6,5,2,6
81,1,6,4,2,3
81,2,6,5,2,5
81,1,3,3,2,5
82,3,6,3,2,4
84,2,4,4,2,7
85,1,4,5,2,6
86,1,4,4,2,4
87,1,5,4,2,4
87,3,5,3,2,3
89,1,3,4,2,7
91,1,4,4,2,4
92,1,6,5,2,6
92,2,4,5,2,7
93,3,6,3,2,3
93,2,4,4,2,7
94,1,3,5,2,6
95,2,5,5,2,4
97,2,6,3,2,5
97,2,5,5,2,5
97,2,6,4,2,3
99,1,5,5,2,3
99,1,3,3,2,5
100,3,4,3,2,4
102,1,4,5,2,4
102,1,6,5,2,6
104,2,5,4,2,4
105,2,5,5,2,6
107,1,3,4,2,6
109,1,3,3,2,6
110,1,3,5,2,4
110,2,6,4,2,6
112,1,5,5,2,7
113,1,3,3,2,3
114,1,5,3,2,5
114,1,3,4,2,3
115,3,6,4,2,3
116,1,6,5,2,6
116,3,3,3,2,4
118,3,5,3,2,3
118,3,3,5,2,7
119,2,4,4,2,6
119,1,4,4,2,4
120,2,6,3,2,6
120,1,6,3,2,6
121,1,5,5,2,5
121,2,3,4,2,7
121,1,3,3,2,5
123,1,4,3,2,6
123,2,5,4,2,5
123,1,6,5,2,5
123,1,5,3,2,6
123,1,3,3,2,4
124,2,4,4,2,5
125,3,3,3,2,4
126,1,4,3,2,6
