date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
1990-12-19,sh.000001,96.0500,99.9800,95.7900,99.9800,1260,494000.0000,3,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0
1990-12-20,sh.000001,104.3000,104.3900,99.9800,104.3900,19700,84992.0000,3,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0
1990-12-21,sh.000001,109.0700,109.1300,103.7300,109.1300,2800,16096.0000,3,0.000000,1,4.540663,0.000000,0.000000,0.000000,0.000000,0
1990-12-24,sh.000001,113.5700,114.5500,109.1300,114.5500,3200,31063.0000,3,0.000000,1,4.966559,0.000000,0.000000,0.000000,0.000000,0
1990-12-25,sh.000001,120.0900,120.2500,114.5500,120.2500,1500,6510.0000,3,0.000000,1,4.975990,0.000000,0.000000,0.000000,0.000000,0
1990-12-26,sh.000001,125.2700,125.2700,120.2500,125.2700,10000,53730.0000,3,0.000000,1,4.174634,0.000000,0.000000,0.000000,0.000000,0
1990-12-27,sh.000001,125.2700,125.2800,125.2700,125.2800,6600,104644.0000,3,0.000000,1,0.007984,0.000000,0.000000,0.000000,0.000000,0
1990-12-28,sh.000001,126.3900,126.4500,125.2800,126.4500,10800,88031.0000,3,0.000000,1,0.933907,0.000000,0.000000,0.000000,0.000000,0
1990-12-31,sh.000001,126.5600,127.6100,126.4800,127.6100,7800,60030.0000,3,0.000000,1,0.917362,0.000000,0.000000,0.000000,0.000000,0
1991-01-02,sh.000001,127.6100,128.8400,127.6100,128.8400,9100,59098.0000,3,0.000000,1,0.963871,0.000000,0.000000,0.000000,0.000000,0
1991-01-03,sh.000001,128.8400,130.1400,128.8400,130.1400,14100,93918.0000,3,0.000000,1,1.009006,0.000000,0.000000,0.000000,0.000000,0
1991-01-04,sh.000001,131.2700,131.4400,130.1400,131.4400,42000,261904.0000,3,0.000000,1,0.998927,0.000000,0.000000,0.000000,0.000000,0
1991-01-07,sh.000001,131.9900,132.0600,131.4500,132.0600,21700,141737.0000,3,0.000000,1,0.471694,0.000000,0.000000,0.000000,0.000000,0
1991-01-08,sh.000001,132.6200,132.6800,132.0600,132.6800,292600,1806867.0000,3,0.000000,1,0.469480,0.000000,0.000000,0.000000,0.000000,0
1991-01-09,sh.000001,133.3000,133.3400,132.6800,133.3400,560300,3228719.0000,3,0.000000,1,0.497440,0.000000,0.000000,0.000000,0.000000,0
1991-01-10,sh.000001,133.9300,133.9700,133.3400,133.9700,999000,5399457.0000,3,0.000000,1,0.472480,0.000000,0.000000,0.000000,0.000000,0
1991-01-11,sh.000001,134.6100,134.6100,134.5100,134.6000,1332700,7115732.0000,3,0.000000,1,0.470258,0.000000,0.000000,0.000000,0.000000,0
1991-01-14,sh.000001,134.1100,135.1900,134.1100,134.6700,1253000,6883604.0000,3,0.000000,1,0.052000,0.000000,0.000000,0.000000,0.000000,0
1991-01-15,sh.000001,134.2100,134.7400,134.1900,134.7400,144600,1010364.0000,3,0.000000,1,0.051984,0.000000,0.000000,0.000000,0.000000,0
1991-01-16,sh.000001,134.1900,134.7400,134.1400,134.2400,50900,270133.0000,3,0.000000,1,-0.371085,0.000000,0.000000,0.000000,0.000000,0
1991-01-17,sh.000001,133.6700,134.2500,133.6500,134.2500,65800,334238.0000,3,0.000000,1,0.007445,0.000000,0.000000,0.000000,0.000000,0
1991-01-18,sh.000001,133.7000,134.2500,133.6700,134.2400,300400,1570833.0000,3,0.000000,1,-0.007445,0.000000,0.000000,0.000000,0.000000,0
1991-01-21,sh.000001,133.7000,134.2400,133.6600,134.2400,205100,1029305.0000,3,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0
1991-01-22,sh.000001,133.7200,134.2400,133.6600,133.7200,35400,180787.0000,3,0.000000,1,-0.387369,0.000000,0.000000,0.000000,0.000000,0
1991-01-23,sh.000001,133.1700,133.7200,133.1400,133.1700,109500,575928.0000,3,0.000000,1,-0.411309,0.000000,0.000000,0.000000,0.000000,0
1991-01-24,sh.000001,132.6100,133.1700,132.5700,132.6100,185700,917392.0000,3,0.000000,1,-0.420513,0.000000,0.000000,0.000000,0.000000,0
1991-01-25,sh.000001,132.0500,132.0700,132.0300,132.0500,344700,1722246.0000,3,0.000000,1,-0.422289,0.000000,0.000000,0.000000,0.000000,0
1991-01-28,sh.000001,131.4600,131.5500,131.4600,131.4600,510700,2565573.0000,3,0.000000,1,-0.446798,0.000000,0.000000,0.000000,0.000000,0
1991-01-29,sh.000001,130.9500,130.9700,130.9500,130.9500,138700,710741.0000,3,0.000000,1,-0.387958,0.000000,0.000000,0.000000,0.000000,0
1991-01-30,sh.000001,130.4400,130.9500,130.4100,130.4400,52700,260701.0000,3,0.000000,1,-0.389457,0.000000,0.000000,0.000000,0.000000,0
1991-01-31,sh.000001,129.9300,130.4600,129.9300,129.9700,51000,244662.0000,3,0.000000,1,-0.360320,0.000000,0.000000,0.000000,0.000000,0
1991-02-01,sh.000001,129.5000,129.9700,129.4500,129.5100,34500,140871.0000,3,0.000000,1,-0.353933,0.000000,0.000000,0.000000,0.000000,0
1991-02-04,sh.000001,129.0500,129.5800,129.0500,129.0500,55300,273652.0000,3,0.000000,1,-0.355178,0.000000,0.000000,0.000000,0.000000,0
1991-02-05,sh.000001,128.5600,128.5800,128.5300,128.5800,856200,4250084.0000,3,0.000000,1,-0.364201,0.000000,0.000000,0.000000,0.000000,0
1991-02-06,sh.000001,129.1300,129.1500,128.0600,129.1400,664100,3847268.0000,3,0.000000,1,0.435525,0.000000,0.000000,0.000000,0.000000,0
1991-02-07,sh.000001,129.7400,129.7900,129.1400,129.7900,213300,1504814.0000,3,0.000000,1,0.503325,0.000000,0.000000,0.000000,0.000000,0
1991-02-08,sh.000001,130.3600,130.3900,129.7900,130.3800,123400,879868.0000,3,0.000000,1,0.454589,0.000000,0.000000,0.000000,0.000000,0
1991-02-11,sh.000001,130.9200,130.9700,130.3900,130.9700,931700,4834876.0000,3,0.000000,1,0.452520,0.000000,0.000000,0.000000,0.000000,0
1991-02-12,sh.000001,131.5400,131.5600,130.9700,131.3500,377400,1986983.0000,3,0.000000,1,0.290146,0.000000,0.000000,0.000000,0.000000,0
1991-02-13,sh.000001,131.9300,131.9300,131.3500,131.9200,115200,673738.0000,3,0.000000,1,0.433949,0.000000,0.000000,0.000000,0.000000,0
1991-02-14,sh.000001,132.5300,132.5300,132.3000,132.5300,362400,1883072.0000,3,0.000000,1,0.462402,0.000000,0.000000,0.000000,0.000000,0
1991-02-19,sh.000001,133.1200,133.1400,133.0800,133.1300,174800,1216176.0000,3,0.000000,1,0.452732,0.000000,0.000000,0.000000,0.000000,0
1991-02-20,sh.000001,133.6300,133.6700,133.1300,133.6700,87600,520724.0000,3,0.000000,1,0.405614,0.000000,0.000000,0.000000,0.000000,0
1991-02-21,sh.000001,134.2400,134.2800,133.6700,134.2800,322000,1771726.0000,3,0.000000,1,0.456348,0.000000,0.000000,0.000000,0.000000,0
1991-02-22,sh.000001,134.8500,134.8700,134.2800,134.8700,342700,2003776.0000,3,0.000000,1,0.439378,0.000000,0.000000,0.000000,0.000000,0
1991-02-25,sh.000001,134.3700,134.8700,134.3300,134.4000,81000,621015.0000,3,0.000000,1,-0.348485,0.000000,0.000000,0.000000,0.000000,0
1991-02-26,sh.000001,133.9000,134.4400,133.9000,133.9300,109400,2545711.0000,3,0.000000,1,-0.349703,0.000000,0.000000,0.000000,0.000000,0
1991-02-27,sh.000001,133.4400,133.9800,133.4400,133.4700,21400,141958.0000,3,0.000000,1,-0.343457,0.000000,0.000000,0.000000,0.000000,0
1991-02-28,sh.000001,132.9900,133.5200,132.9800,133.0100,225800,1187974.0000,3,0.000000,1,-0.344652,0.000000,0.000000,0.000000,0.000000,0
1991-03-01,sh.000001,132.5300,132.5300,132.4700,132.5300,712400,3777320.0000,3,0.000000,1,-0.360872,0.000000,0.000000,0.000000,0.000000,0
1991-03-04,sh.000001,132.0900,132.0900,131.9800,131.9900,251800,1418017.0000,3,0.000000,1,-0.407450,0.000000,0.000000,0.000000,0.000000,0
1991-03-05,sh.000001,131.4200,131.9900,131.4100,131.4600,98200,934706.0000,3,0.000000,1,-0.401545,0.000000,0.000000,0.000000,0.000000,0
1991-03-06,sh.000001,130.8900,130.9500,130.8900,130.9400,71900,1345390.0000,3,0.000000,1,-0.395561,0.000000,0.000000,0.000000,0.000000,0
1991-03-07,sh.000001,130.4100,130.9400,130.4100,130.4100,56800,427475.0000,3,0.000000,1,-0.404765,0.000000,0.000000,0.000000,0.000000,0
1991-03-08,sh.000001,129.8400,130.4100,129.8400,129.8900,93300,541770.0000,3,0.000000,1,-0.398746,0.000000,0.000000,0.000000,0.000000,0
1991-03-11,sh.000001,129.3000,129.8900,129.3000,129.3100,51400,299524.0000,3,0.000000,1,-0.446533,0.000000,0.000000,0.000000,0.000000,0
1991-03-12,sh.000001,128.7300,129.3100,128.7300,128.7700,95700,783099.0000,3,0.000000,1,-0.417596,0.000000,0.000000,0.000000,0.000000,0
1991-03-13,sh.000001,126.1300,128.7700,126.1300,126.1500,49800,418280.0000,3,0.000000,1,-2.034637,0.000000,0.000000,0.000000,0.000000,0
1991-03-14,sh.000001,125.6100,126.1500,125.6100,125.6300,32600,242557.0000,3,0.000000,1,-0.412211,0.000000,0.000000,0.000000,0.000000,0
